country,1990
China,1176883681
India,873277799
European Union,420477979
United States of America,252120309
Indonesia,181413398
Brazil,149003225
Russia,147531562
Japan,124505243
Pakistan,107647918
Bangladesh,103171957
Nigeria,95212454
Mexico,83943135
Germany,79053984
Vietnam,67988855
Philippines,61895169
United Kingdom,57134377
Italy,57048237
France,56666861
Thailand,56558196
Iran,56366212
Egypt,56134478
Turkey,53921758
Ukraine,51463101
Ethiopia,47887864
South Korea,42918416
Myanmar,41335188
Spain,39202524
Poland,37960193
South Africa,36800507
Democratic Republic of the Congo,34612023
Colombia,33102569
Argentina,32618648
Canada,27541323
Algeria,25758872
Tanzania,25203848
Morocco,24807461
Kenya,23724574
Romania,23489156
Peru,22071433
Taiwan,20478516
Uzbekistan,20398347
North Korea,20293057
Sudan,20147592
Venezuela,19632665
Nepal,18905480
Malaysia,18029824
Iraq,17419113
Uganda,17354395
Sri Lanka,17325769
Australia,16960600
Kazakhstan,16383881
Saudi Arabia,16233786
Netherlands,14965442
Ghana,14773274
Chile,13274617
Mozambique,12987292
Syria,12446168
Afghanistan,12412311
Ivory Coast,11924873
Angola,11848385
Cameroon,11780086
Yemen,11709987
Madagascar,11598647
Cuba,10596986
Zimbabwe,10432409
Hungary,10377135
Czech Republic,10340877
Ecuador,10230931
Greece,10225990
Belarus,10151135
Belgium,10006545
Portugal,9895358
Serbia and Montenegro,9517677
Malawi,9404499
Guatemala,9263820
Cambodia,8975597
Bulgaria,8841466
Burkina Faso,8811033
Sweden,8567375
Mali,8449915
Tunisia,8242509
Zambia,8036849
Niger,8026592
Austria,7723954
Senegal,7526306
Rwanda,7288883
Azerbaijan,7242758
Somalia,7225089
Dominican Republic,7133491
Haiti,7037915
Bolivia,6864839
Switzerland,6652873
Guinea,6352282
Chad,5963250
Hong Kong,5727942
South Sudan,5492620
Burundi,5438959
Georgia,5410400
Slovakia,5288455
Tajikistan,5283811
El Salvador,5270074
Denmark,5141117
Finland,4996220
Benin,4978489
Honduras,4955302
Croatia,4776370
Papua New Guinea,4615843
Bosnia and Herzegovina,4463422
Israel,4448348
Libya,4436663
Kyrgyzstan,4372885
Moldova,4365562
Sierra Leone,4319763
Laos,4258471
Norway,4247286
Paraguay,4223413
Nicaragua,4173435
Togo,3774310
Lithuania,3696035
Turkmenistan,3683978
Jordan,3565888
Armenia,3538164
Ireland,3510881
Puerto Rico,3403168
New Zealand,3398175
Albania,3286070
Costa Rica,3119436
Uruguay,3109598
Singapore,3012968
Central African Republic,2806740
Lebanon,2803032
Latvia,2664447
Panama,2470946
Jamaica,2419901
Congo,2356740
Eritrea,2258649
Mongolia,2184139
Palestine,2101445
Kuwait,2095350
Liberia,2075917
Mauritania,2034347
Slovenia,2006404
Macedonia,1996218
United Arab Emirates,1828437
Oman,1812158
Lesotho,1703757
Estonia,1565246
Namibia,1432899
Botswana,1286756
Trinidad and Tobago,1221121
Mauritius,1055869
Guinea-Bissau,975265
Gambia,955595
Gabon,949493
Swaziland,822423
Cyprus,766616
Guyana,743306
East Timor,737814
Fiji,728575
Réunion,610584
Djibouti,590393
Bhutan,530801
Bahrain,495927
Qatar,476275
Equatorial Guinea,419188
Comoros,411598
Suriname,405169
Guadeloupe,389251
Luxembourg,381780
Malta,362017
Martinique,358457
Macao,343816
Cape Verde,337953
Solomon Islands,311869
Barbados,260933
Brunei,258714
Bahamas,256227
Iceland,255044
Maldives,223159
Western Sahara,217258
French Polynesia,199906
Belize,187554
New Caledonia,170335
Samoa,162797
Curaçao,146679
Vanuatu,146575
Saint Lucia,138019
Sao Tome and Principe,119211
French Guiana,115784
Saint Vincent and the Grenadines,107489
Virgin Islands,103755
Grenada,96328
Tonga,95069
Kiribati,72394
Seychelles,70572
Antigua and Barbuda,62533
Aruba,62152
