Saint Helena,0.010,0.010,0.015
Saint Kitts and Nevis,0.034,0.063,0.238
Saint Lucia,0.076,0.158,0.364
Saint Pierre and Miquelon,0.148,0.031,0.075
Saint Vincent and the Grenadines,0.038,0.095,0.179
Samoa,0.129,0.121,0.147
Sao Tome and Principe,0.047,0.057,0.157
Saudi Arabia,166.172,339.441,638.762
Senegal,2.397,5.800,9.689
Serbia and Montenegro,66.388,61.497,62.487
Seychelles,0.288,0.678,0.968
Sierra Leone,0.741,0.493,1.309
Singapore,31.623,42.998,55.018
Slovakia,60.537,42.194,37.855
Slovenia,16.623,18.300,15.209
Solomon Islands,0.133,0.187,0.146
Somalia,0.695,0.765,0.927
South Africa,312.463,433.170,467.654
South Korea,270.056,514.946,673.324
Spain,229.966,368.948,282.364
Sri Lanka,4.187,14.421,23.978
South Sudan,5.536,10.773,21.056
Suriname,0.908,1.686,2.213
Sweden,58.117,55.877,50.874
Switzerland,44.955,47.161,39.738
Syria,33.876,25.582,28.377
Taiwan,124.383,269.099,279.740
Tajikistan,12.267,3.263,5.699
Tanzania,2.096,5.780,14.650
Thailand,93.009,225.613,279.296
Gambia,0.149,0.235,0.554
Togo,0.765,1.327,2.843
Tonga,0.064,0.120,0.136
Trinidad and Tobago,14.895,34.450,37.745
Tunisia,14.705,23.355,31.630
Turkey,149.893,246.169,429.563
Turkmenistan,45.628,52.851,72.474
Turks and Caicos Islands,0.007,0.005,0.165
Uganda,0.644,1.664,5.042
Ukraine,783.210,354.429,205.723
United Arab Emirates,56.922,122.395,202.802
United Kingdom,589.038,561.543,379.150
United States of America,5085.897,5971.571,5107.393
Uruguay,3.893,5.483,6.930
Uzbekistan,123.106,116.386,95.350
Vanuatu,0.130,0.063,0.091
Venezuela,109.268,152.464,145.877
Vietnam,20.182,99.231,218.729
Western Sahara,0.144,0.227,0.276
Yemen,6.887,21.768,12.503
Zambia,2.955,2.457,4.967
Zimbabwe,17.178,11.388,12.087
